nrows,ncols,threads,time_sec,speedup_vs_seq
1000,1000,1,0.001756,1.118618
1000,1000,2,0.000841,2.335182
1000,1000,4,0.000426,4.608288
1000,1000,5,0.000365,5.387569
1000,1000,8,0.000271,7.249693
10000,10000,1,0.124452,1.001259
10000,10000,2,0.064218,1.940406
10000,10000,4,0.032880,3.789811
10000,10000,5,0.026374,4.724751
10000,10000,8,0.016553,7.527729
15000,15000,1,0.285200,0.990388
15000,15000,2,0.144761,1.951214
15000,15000,4,0.074313,3.800937
15000,15000,5,0.059360,4.758433
15000,15000,8,0.039128,7.218846
20000,20000,1,0.498244,0.998618
20000,20000,2,0.255971,1.943793
20000,20000,4,0.131560,3.781975
20000,20000,5,0.105703,4.707122
20000,20000,8,0.066062,7.531642
