matrix_type,bandwidth,nrows,ncols,schedule,threads,time_sec,speedup_vs_seq
dense,10,1000,1000,static,1,0.001254,0.960393
dense,10,1000,1000,static,2,0.000673,1.789500
dense,10,1000,1000,static,4,0.000363,3.320772
dense,10,1000,1000,static,10,0.000286,4.210956
dense,10,1000,1000,static,11,0.000306,3.940022
dense,10,1000,1000,static,20,0.000316,3.807166
dense,10,1000,1000,dynamic,1,0.001264,0.952795
dense,10,1000,1000,dynamic,2,0.000740,1.627477
dense,10,1000,1000,dynamic,4,0.000388,3.106621
dense,10,1000,1000,dynamic,10,0.000271,4.449507
dense,10,1000,1000,dynamic,11,0.000255,4.729058
dense,10,1000,1000,dynamic,20,0.000313,3.843617
dense,10,1000,1000,guided,1,0.001242,0.969673
dense,10,1000,1000,guided,2,0.000687,1.753883
dense,10,1000,1000,guided,4,0.000360,3.348471
dense,10,1000,1000,guided,10,0.000254,4.741470
dense,10,1000,1000,guided,11,0.000234,5.139402
dense,10,1000,1000,guided,20,0.000294,4.091733
dense,10,10000,10000,static,1,0.124484,1.018024
dense,10,10000,10000,static,2,0.064054,1.978466
dense,10,10000,10000,static,4,0.032741,3.870660
dense,10,10000,10000,static,10,0.020342,6.229767
dense,10,10000,10000,static,11,0.023326,5.432985
dense,10,10000,10000,static,20,0.018427,6.877300
dense,10,10000,10000,dynamic,1,0.125981,1.005927
dense,10,10000,10000,dynamic,2,0.065017,1.949142
dense,10,10000,10000,dynamic,4,0.033383,3.796222
dense,10,10000,10000,dynamic,10,0.015520,8.165464
dense,10,10000,10000,dynamic,11,0.015313,8.275844
dense,10,10000,10000,dynamic,20,0.015344,8.259124
dense,10,10000,10000,guided,1,0.124457,1.018245
dense,10,10000,10000,guided,2,0.064052,1.978507
dense,10,10000,10000,guided,4,0.032864,3.856173
dense,10,10000,10000,guided,10,0.015740,8.051505
dense,10,10000,10000,guided,11,0.018209,6.959763
dense,10,10000,10000,guided,20,0.015665,8.089710
dense,10,15000,15000,static,1,0.283667,0.988499
dense,10,15000,15000,static,2,0.144310,1.943074
dense,10,15000,15000,static,4,0.074611,3.758209
dense,10,15000,15000,static,10,0.039103,7.170872
dense,10,15000,15000,static,11,0.046139,6.077353
dense,10,15000,15000,static,20,0.040212,6.973167
dense,10,15000,15000,dynamic,1,0.285296,0.982858
dense,10,15000,15000,dynamic,2,0.145710,1.924409
dense,10,15000,15000,dynamic,4,0.074804,3.748529
dense,10,15000,15000,dynamic,10,0.034237,8.190036
dense,10,15000,15000,dynamic,11,0.034469,8.134991
dense,10,15000,15000,dynamic,20,0.034697,8.081534
dense,10,15000,15000,guided,1,0.279161,1.004455
dense,10,15000,15000,guided,2,0.143998,1.947288
dense,10,15000,15000,guided,4,0.073677,3.805869
dense,10,15000,15000,guided,10,0.035837,7.824528
dense,10,15000,15000,guided,11,0.035576,7.881785
dense,10,15000,15000,guided,20,0.035884,7.814207
dense,10,20000,20000,static,1,0.517499,0.999767
dense,10,20000,20000,static,2,0.263706,1.961956
dense,10,20000,20000,static,4,0.132358,3.908946
dense,10,20000,20000,static,10,0.067784,7.632722
dense,10,20000,20000,static,11,0.075786,6.826811
dense,10,20000,20000,static,20,0.073295,7.058858
dense,10,20000,20000,dynamic,1,0.513033,1.008471
dense,10,20000,20000,dynamic,2,0.265502,1.948685
dense,10,20000,20000,dynamic,4,0.132430,3.906801
dense,10,20000,20000,dynamic,10,0.059824,8.648304
dense,10,20000,20000,dynamic,11,0.060325,8.576527
dense,10,20000,20000,dynamic,20,0.060901,8.495457
dense,10,20000,20000,guided,1,0.500424,1.033881
dense,10,20000,20000,guided,2,0.256340,2.018331
dense,10,20000,20000,guided,4,0.131479,3.935060
dense,10,20000,20000,guided,10,0.060612,8.535964
dense,10,20000,20000,guided,11,0.063580,8.137449
dense,10,20000,20000,guided,20,0.070295,7.360111
