matrix_type,bandwidth,nrows,ncols,schedule,threads,time_sec,speedup_vs_seq
lower,10,1000,1000,static,1,0.000959,0.995483
lower,10,1000,1000,static,2,0.000721,1.324549
lower,10,1000,1000,static,4,0.000428,2.233048
lower,10,1000,1000,static,10,0.000276,3.460145
lower,10,1000,1000,static,11,0.000273,3.498169
lower,10,1000,1000,static,20,0.000316,3.025343
lower,10,1000,1000,dynamic,1,0.000691,1.381389
lower,10,1000,1000,dynamic,2,0.000449,2.126949
lower,10,1000,1000,dynamic,4,0.000256,3.730469
lower,10,1000,1000,dynamic,10,0.000218,4.374046
lower,10,1000,1000,dynamic,11,0.000285,3.350877
lower,10,1000,1000,dynamic,20,0.000332,2.873621
lower,10,1000,1000,guided,1,0.000724,1.319668
lower,10,1000,1000,guided,2,0.000396,2.409588
lower,10,1000,1000,guided,4,0.000224,4.269747
lower,10,1000,1000,guided,10,0.000177,5.395480
lower,10,1000,1000,guided,11,0.000184,5.180832
lower,10,1000,1000,guided,20,0.000248,3.845638
lower,10,10000,10000,static,1,0.063633,0.993358
lower,10,10000,10000,static,2,0.047767,1.323312
lower,10,10000,10000,static,4,0.028290,2.234356
lower,10,10000,10000,static,10,0.013596,4.649325
lower,10,10000,10000,static,11,0.013310,4.749230
lower,10,10000,10000,static,20,0.011673,5.415118
lower,10,10000,10000,dynamic,1,0.063929,0.988769
lower,10,10000,10000,dynamic,2,0.033107,1.909284
lower,10,10000,10000,dynamic,4,0.017096,3.697467
lower,10,10000,10000,dynamic,10,0.008563,7.382124
lower,10,10000,10000,dynamic,11,0.008406,7.520006
lower,10,10000,10000,dynamic,20,0.008395,7.529262
lower,10,10000,10000,guided,1,0.068223,0.926530
lower,10,10000,10000,guided,2,0.032665,1.935099
lower,10,10000,10000,guided,4,0.016758,3.771970
lower,10,10000,10000,guided,10,0.008606,7.344669
lower,10,10000,10000,guided,11,0.009216,6.859044
lower,10,10000,10000,guided,20,0.008470,7.462595
lower,10,15000,15000,static,1,0.143304,1.011565
lower,10,15000,15000,static,2,0.107152,1.352853
lower,10,15000,15000,static,4,0.063709,2.275355
lower,10,15000,15000,static,10,0.029790,4.866162
lower,10,15000,15000,static,11,0.029464,4.920003
lower,10,15000,15000,static,20,0.025840,5.610031
lower,10,15000,15000,dynamic,1,0.143151,1.012649
lower,10,15000,15000,dynamic,2,0.073765,1.965178
lower,10,15000,15000,dynamic,4,0.038229,3.791888
lower,10,15000,15000,dynamic,10,0.018556,7.812241
lower,10,15000,15000,dynamic,11,0.019160,7.565963
lower,10,15000,15000,dynamic,20,0.019744,7.342169
lower,10,15000,15000,guided,1,0.142226,1.019230
lower,10,15000,15000,guided,2,0.073132,1.982196
lower,10,15000,15000,guided,4,0.037243,3.892346
lower,10,15000,15000,guided,10,0.017444,8.309938
lower,10,15000,15000,guided,11,0.018115,8.002134
lower,10,15000,15000,guided,20,0.019212,7.545354
lower,10,20000,20000,static,1,0.255723,0.985062
lower,10,20000,20000,static,2,0.192021,1.311852
lower,10,20000,20000,static,4,0.112460,2.239938
lower,10,20000,20000,static,10,0.052246,4.821442
lower,10,20000,20000,static,11,0.049655,5.073091
lower,10,20000,20000,static,20,0.040841,6.167937
lower,10,20000,20000,dynamic,1,0.252727,0.996740
lower,10,20000,20000,dynamic,2,0.130246,1.934053
lower,10,20000,20000,dynamic,4,0.066842,3.768629
lower,10,20000,20000,dynamic,10,0.037924,6.642302
lower,10,20000,20000,dynamic,11,0.032026,7.865649
lower,10,20000,20000,dynamic,20,0.032253,7.810128
lower,10,20000,20000,guided,1,0.257629,0.977774
lower,10,20000,20000,guided,2,0.129471,1.945625
lower,10,20000,20000,guided,4,0.066019,3.815628
lower,10,20000,20000,guided,10,0.031615,7.967737
lower,10,20000,20000,guided,11,0.032428,7.767981
lower,10,20000,20000,guided,20,0.033263,7.573059
