matrix_type,bandwidth,nrows,ncols,schedule,threads,time_sec,speedup_vs_seq
upper,10,1000,1000,static,1,0.000642,1.025947
upper,10,1000,1000,static,2,0.000520,1.266496
upper,10,1000,1000,static,4,0.000356,1.851124
upper,10,1000,1000,static,10,0.000256,2.574219
upper,10,1000,1000,static,11,0.000214,3.079439
upper,10,1000,1000,static,20,0.000274,2.405110
upper,10,1000,1000,dynamic,1,0.000706,0.933869
upper,10,1000,1000,dynamic,2,0.000455,1.447291
upper,10,1000,1000,dynamic,4,0.000229,2.877729
upper,10,1000,1000,dynamic,10,0.000193,3.420415
upper,10,1000,1000,dynamic,11,0.000228,2.894583
upper,10,1000,1000,dynamic,20,0.000262,2.515267
upper,10,1000,1000,guided,1,0.000591,1.115688
upper,10,1000,1000,guided,2,0.000514,1.282101
upper,10,1000,1000,guided,4,0.000341,1.932551
upper,10,1000,1000,guided,10,0.000186,3.549372
upper,10,1000,1000,guided,11,0.000193,3.420415
upper,10,1000,1000,guided,20,0.000241,2.730663
upper,10,10000,10000,static,1,0.064632,1.013590
upper,10,10000,10000,static,2,0.048824,1.341774
upper,10,10000,10000,static,4,0.028374,2.308816
upper,10,10000,10000,static,10,0.013344,4.909470
upper,10,10000,10000,static,11,0.012964,5.053250
upper,10,10000,10000,static,20,0.011686,5.605722
upper,10,10000,10000,dynamic,1,0.064879,1.009731
upper,10,10000,10000,dynamic,2,0.033426,1.959862
upper,10,10000,10000,dynamic,4,0.017235,3.801079
upper,10,10000,10000,dynamic,10,0.009579,6.838715
upper,10,10000,10000,dynamic,11,0.009923,6.601868
upper,10,10000,10000,dynamic,20,0.008736,7.499180
upper,10,10000,10000,guided,1,0.068758,0.952762
upper,10,10000,10000,guided,2,0.048201,1.359117
upper,10,10000,10000,guided,4,0.028129,2.328953
upper,10,10000,10000,guided,10,0.013294,4.927812
upper,10,10000,10000,guided,11,0.011743,5.578513
upper,10,10000,10000,guided,20,0.008901,7.359885
upper,10,15000,15000,static,1,0.143700,1.001740
upper,10,15000,15000,static,2,0.108659,1.324787
upper,10,15000,15000,static,4,0.063702,2.259729
upper,10,15000,15000,static,10,0.030645,4.697341
upper,10,15000,15000,static,11,0.026784,5.374410
upper,10,15000,15000,static,20,0.025707,5.599570
upper,10,15000,15000,dynamic,1,0.150522,0.956339
upper,10,15000,15000,dynamic,2,0.074122,1.942060
upper,10,15000,15000,dynamic,4,0.037914,3.796751
upper,10,15000,15000,dynamic,10,0.018196,7.911079
upper,10,15000,15000,dynamic,11,0.018355,7.842407
upper,10,15000,15000,dynamic,20,0.017949,8.020094
upper,10,15000,15000,guided,1,0.144894,0.993487
upper,10,15000,15000,guided,2,0.107598,1.337854
upper,10,15000,15000,guided,4,0.064009,2.248902
upper,10,15000,15000,guided,10,0.030334,4.745448
upper,10,15000,15000,guided,11,0.028161,5.111740
upper,10,15000,15000,guided,20,0.022927,6.278623
upper,10,20000,20000,static,1,0.253816,1.003353
upper,10,20000,20000,static,2,0.204969,1.242470
upper,10,20000,20000,static,4,0.113139,2.250918
upper,10,20000,20000,static,10,0.051558,4.939466
upper,10,20000,20000,static,11,0.048883,5.209732
upper,10,20000,20000,static,20,0.042664,5.969092
upper,10,20000,20000,dynamic,1,0.256645,0.992294
upper,10,20000,20000,dynamic,2,0.131326,1.939200
upper,10,20000,20000,dynamic,4,0.067088,3.796019
upper,10,20000,20000,dynamic,10,0.031672,8.040857
upper,10,20000,20000,dynamic,11,0.031392,8.112492
upper,10,20000,20000,dynamic,20,0.031795,8.009666
upper,10,20000,20000,guided,1,0.253020,1.006512
upper,10,20000,20000,guided,2,0.190354,1.337864
upper,10,20000,20000,guided,4,0.112624,2.261224
upper,10,20000,20000,guided,10,0.050720,5.021044
upper,10,20000,20000,guided,11,0.045265,5.626101
upper,10,20000,20000,guided,20,0.037529,6.785881
