N,heavy_period,schedule,threads,time_sec,speedup
500000,10,static,1,0.885105,1.009228
500000,10,static,2,0.447509,1.996099
500000,10,static,4,0.230793,3.870451
500000,10,static,8,0.126524,7.060126
500000,10,static,10,0.128381,6.958003
500000,10,dynamic,1,0.880049,1.015027
500000,10,dynamic,2,0.449709,1.986336
500000,10,dynamic,4,0.228931,3.901937
500000,10,dynamic,8,0.130481,6.845983
500000,10,dynamic,10,0.117844,7.580131
500000,10,guided,1,0.875044,1.020832
500000,10,guided,2,0.450132,1.984469
500000,10,guided,4,0.225972,3.953025
500000,10,guided,8,0.122238,7.307674
500000,10,guided,10,0.117658,7.592114
