N,heavy_period,schedule,threads,time_sec,speedup
5000000,10,static,1,8.829358,0.992378
5000000,10,static,2,4.482155,1.954877
5000000,10,static,4,2.294882,3.818088
5000000,10,static,8,1.234957,7.095035
5000000,10,static,10,1.249760,7.010997
5000000,10,dynamic,1,8.906000,0.983838
5000000,10,dynamic,2,4.523896,1.936840
5000000,10,dynamic,4,2.326801,3.765712
5000000,10,dynamic,8,1.216488,7.202753
5000000,10,dynamic,10,1.201806,7.290749
5000000,10,guided,1,8.857678,0.989205
5000000,10,guided,2,4.491583,1.950774
5000000,10,guided,4,2.277829,3.846673
5000000,10,guided,8,1.217942,7.194157
5000000,10,guided,10,1.194082,7.337909
