schedule,threads,N,chunk,time_sec,speedup_vs_seq
static,1,500000,0,0.269235,0.729677
static,2,500000,0,0.246075,0.798353
static,4,500000,0,0.246534,0.796866
static,5,500000,0,0.228504,0.859742
static,8,500000,0,0.152805,1.285653
dynamic,1,500000,0,0.513177,0.382820
dynamic,2,500000,0,0.255526,0.768826
dynamic,4,500000,0,0.137246,1.431409
dynamic,5,500000,0,0.137936,1.424242
dynamic,8,500000,0,0.168812,1.163748
guided,1,500000,0,0.271802,0.722785
guided,2,500000,0,0.136157,1.442850
guided,4,500000,0,0.075093,2.616140
guided,5,500000,0,0.077164,2.545926
guided,8,500000,0,0.079682,2.465484
