n,threads,method,time_sec
100000,1,atomic,0.022075
100000,1,critical,0.022056
100000,1,lock,0.022053
100000,1,reduction,0.022177
100000,2,atomic,0.011707
100000,2,critical,0.011654
100000,2,lock,0.011449
100000,2,reduction,0.011685
100000,4,atomic,0.006058
100000,4,critical,0.006054
100000,4,lock,0.006038
100000,4,reduction,0.006019
100000,5,atomic,0.004959
100000,5,critical,0.004893
100000,5,lock,0.004966
100000,5,reduction,0.004907
100000,8,atomic,0.004609
100000,8,critical,0.004517
100000,8,lock,0.003671
100000,8,reduction,0.003450
1000000,1,atomic,0.226900
1000000,1,critical,0.228965
1000000,1,lock,0.226664
1000000,1,reduction,0.232352
1000000,2,atomic,0.116502
1000000,2,critical,0.117249
1000000,2,lock,0.117595
1000000,2,reduction,0.115757
1000000,4,atomic,0.059504
1000000,4,critical,0.059723
1000000,4,lock,0.059970
1000000,4,reduction,0.059058
1000000,5,atomic,0.047844
1000000,5,critical,0.047727
1000000,5,lock,0.049466
1000000,5,reduction,0.048060
1000000,8,atomic,0.032918
1000000,8,critical,0.033715
1000000,8,lock,0.034360
1000000,8,reduction,0.036892
5000000,1,atomic,1.192600
5000000,1,critical,1.145266
5000000,1,lock,1.168314
5000000,1,reduction,1.145764
5000000,2,atomic,0.582345
5000000,2,critical,0.586007
5000000,2,lock,0.582121
5000000,2,reduction,0.583013
5000000,4,atomic,0.297706
5000000,4,critical,0.304459
5000000,4,lock,0.310502
5000000,4,reduction,0.318113
5000000,5,atomic,0.239708
5000000,5,critical,0.239783
5000000,5,lock,0.239324
5000000,5,reduction,0.238815
5000000,8,atomic,0.154443
5000000,8,critical,0.151612
5000000,8,lock,0.166728
5000000,8,reduction,0.159171
20000000,1,atomic,4.585174
20000000,1,critical,4.604213
20000000,1,lock,4.664671
20000000,1,reduction,4.683269
20000000,2,atomic,2.362391
20000000,2,critical,2.374177
20000000,2,lock,2.325600
20000000,2,reduction,2.327388
20000000,4,atomic,1.188819
20000000,4,critical,1.189394
20000000,4,lock,1.196923
20000000,4,reduction,1.181701
20000000,5,atomic,0.957716
20000000,5,critical,0.959753
20000000,5,lock,0.956021
20000000,5,reduction,0.958500
20000000,8,atomic,0.623463
20000000,8,critical,0.633501
20000000,8,lock,0.608539
20000000,8,reduction,0.613333
