mode,nrows,ncols,outer_threads,inner_threads,outer_sched,inner_sched,outer_chunk,inner_chunk,time_sec,speedup_vs_seq
outer,500,500,1,1,static,1,none,0,0.000383,1.025239
outer,500,500,1,1,dynamic,1,none,0,0.000391,1.004263
outer,500,500,1,1,guided,1,none,0,0.000385,1.019031
outer,500,500,2,1,static,1,none,0,0.000214,1.832037
outer,500,500,2,1,dynamic,1,none,0,0.000218,1.803982
outer,500,500,2,1,guided,1,none,0,0.000204,1.927987
outer,500,500,4,1,static,1,none,0,0.000162,2.423868
outer,500,500,4,1,dynamic,1,none,0,0.000121,3.245179
outer,500,500,4,1,guided,1,none,0,0.000118,3.337110
outer,500,500,8,1,static,1,none,0,0.000126,3.124669
outer,500,500,8,1,dynamic,1,none,0,0.000146,2.695652
outer,500,500,8,1,guided,1,none,0,0.000159,2.464436
outer,500,500,10,1,static,1,none,0,0.000147,2.671202
outer,500,500,10,1,dynamic,1,none,0,0.000165,2.384616
outer,500,500,10,1,guided,1,none,0,0.000132,2.967254
nested,500,500,1,1,static,1,static,64,0.000467,0.840828
nested,500,500,1,1,static,1,dynamic,64,0.000467,0.841429
nested,500,500,1,1,static,1,guided,64,0.000456,0.860482
nested,500,500,1,1,dynamic,1,static,64,0.000433,0.907550
nested,500,500,1,1,dynamic,1,dynamic,64,0.000432,0.908250
nested,500,500,1,1,dynamic,1,guided,64,0.000462,0.850541
nested,500,500,1,1,guided,1,static,64,0.000429,0.914596
nested,500,500,1,1,guided,1,dynamic,64,0.000431,0.911765
nested,500,500,1,1,guided,1,guided,64,0.000414,0.948470
nested,500,500,1,2,static,1,static,64,0.016777,0.023405
nested,500,500,1,2,static,1,dynamic,64,0.015549,0.025254
nested,500,500,1,2,static,1,guided,64,0.015193,0.025846
nested,500,500,1,2,dynamic,1,static,64,0.016116,0.024365
nested,500,500,1,2,dynamic,1,dynamic,64,0.015492,0.025346
nested,500,500,1,2,dynamic,1,guided,64,0.015512,0.025314
nested,500,500,1,2,guided,1,static,64,0.014947,0.026271
nested,500,500,1,2,guided,1,dynamic,64,0.015443,0.025427
nested,500,500,1,2,guided,1,guided,64,0.015130,0.025952
nested,500,500,2,1,static,1,static,64,0.000279,1.407407
nested,500,500,2,1,static,1,dynamic,64,0.000244,1.607094
nested,500,500,2,1,static,1,guided,64,0.000244,1.609290
nested,500,500,2,1,dynamic,1,static,64,0.000237,1.656821
nested,500,500,2,1,dynamic,1,dynamic,64,0.000247,1.591892
nested,500,500,2,1,dynamic,1,guided,64,0.000246,1.594046
nested,500,500,2,1,guided,1,static,64,0.000263,1.494924
nested,500,500,2,1,guided,1,dynamic,64,0.000227,1.729809
nested,500,500,2,1,guided,1,guided,64,0.000233,1.682857
nested,500,500,1,4,static,1,static,64,0.035574,0.011038
nested,500,500,1,4,static,1,dynamic,64,0.035142,0.011174
nested,500,500,1,4,static,1,guided,64,0.037859,0.010372
nested,500,500,1,4,dynamic,1,static,64,0.035531,0.011051
nested,500,500,1,4,dynamic,1,dynamic,64,0.035072,0.011196
nested,500,500,1,4,dynamic,1,guided,64,0.033783,0.011623
nested,500,500,1,4,guided,1,static,64,0.034048,0.011533
nested,500,500,1,4,guided,1,dynamic,64,0.033851,0.011600
nested,500,500,1,4,guided,1,guided,64,0.034526,0.011373
nested,500,500,2,2,static,1,static,64,0.013713,0.028635
nested,500,500,2,2,static,1,dynamic,64,0.014307,0.027446
nested,500,500,2,2,static,1,guided,64,0.013507,0.029071
nested,500,500,2,2,dynamic,1,static,64,0.014009,0.028030
nested,500,500,2,2,dynamic,1,dynamic,64,0.014124,0.027801
nested,500,500,2,2,dynamic,1,guided,64,0.013506,0.029073
nested,500,500,2,2,guided,1,static,64,0.013933,0.028182
nested,500,500,2,2,guided,1,dynamic,64,0.013384,0.029339
nested,500,500,2,2,guided,1,guided,64,0.013630,0.028808
nested,500,500,4,1,static,1,static,64,0.000154,2.544276
nested,500,500,4,1,static,1,dynamic,64,0.000150,2.611974
nested,500,500,4,1,static,1,guided,64,0.000189,2.081272
nested,500,500,4,1,dynamic,1,static,64,0.000166,2.370221
nested,500,500,4,1,dynamic,1,dynamic,64,0.000142,2.771764
nested,500,500,4,1,dynamic,1,guided,64,0.000152,2.589011
